癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	04	2024-03-04 08:54	36.0767	129.615	Chart	30	11.8	2	34.31	2		2	0						6	1,003	TAMGU 3
East Sea	102	04	2024-03-04 08:54	36.0767	129.615	Chart	50	7.0	2	34.08	2		2	0						6	1,003	TAMGU 3
East Sea	102	04	2024-03-04 08:54	36.0767	129.615	Chart	75	4.8	2	34.01	2		2	0						6	1,003	TAMGU 3
East Sea	102	04	2024-04-18 09:44	36.0767	129.615	Chart	0	16.1	2	33.91	2		2	0						6	983	TAMGU 3
East Sea	102	04	2024-04-18 09:44	36.0767	129.615	Chart	10	15.4	2	34.06	2		2	0						6	983	TAMGU 3
East Sea	102	04	2024-04-18 09:44	36.0767	129.615	Chart	20	13.9	2	34.34	2		2	0						6	983	TAMGU 3
East Sea	102	04	2024-04-18 09:44	36.0767	129.615	Chart	30	12.5	2	34.34	2		2	0						6	983	TAMGU 3
East Sea	102	04	2024-04-18 09:44	36.0767	129.615	Chart	50	5.7	2	34.17	2		2	0						6	983	TAMGU 3
East Sea	102	04	2024-04-18 09:44	36.0767	129.615	Chart	75	2.4	2	34.05	2		2	0						6	983	TAMGU 3
East Sea	102	04	2024-06-19 07:43	36.0767	129.615	Chart	0	20.1	2	33.95	2		2	0						6	1,004	TAMGU 3
East Sea	102	04	2024-06-19 07:43	36.0767	129.615	Chart	10	14.7	2	34.43	2		2	0						6	1,004	TAMGU 3
East Sea	102	04	2024-06-19 07:43	36.0767	129.615	Chart	20	13.5	2	34.42	2		2	0						6	1,004	TAMGU 3
East Sea	102	04	2024-06-19 07:43	36.0767	129.615	Chart	30	8.8	2	34.27	2		2	0						6	1,004	TAMGU 3
East Sea	102	04	2024-06-19 07:43	36.0767	129.615	Chart	50	5.1	2	34.08	2		2	0						6	1,004	TAMGU 3
East Sea	102	04	2024-06-19 07:43	36.0767	129.615	Chart	75	3.5	2	34.02	2		2	0						6	1,004	TAMGU 3
East Sea	102	05	2024-03-04 09:20	36.0767	129.6883	Chart	0	13.1	2	34.33	2		2	0						7	1,003	TAMGU 3
East Sea	102	05	2024-03-04 09:20	36.0767	129.6883	Chart	10	13.1	2	34.39	2		2	0						7	1,003	TAMGU 3
East Sea	102	05	2024-03-04 09:20	36.0767	129.6883	Chart	20	13.1	2	34.39	2		2	0						7	1,003	TAMGU 3
East Sea	102	05	2024-03-04 09:20	36.0767	129.6883	Chart	30	12.8	2	34.37	2		2	0						7	1,003	TAMGU 3
East Sea	102	05	2024-03-04 09:20	36.0767	129.6883	Chart	50	11.4	2	34.29	2		2	0						7	1,003	TAMGU 3
East Sea	102	05	2024-03-04 09:20	36.0767	129.6883	Chart	75	7.3	2	34.08	2		2	0						7	1,003	TAMGU 3
East Sea	102	05	2024-03-04 09:20	36.0767	129.6883	Chart	100	4.4	2	34.05	2		2	0						7	1,003	TAMGU 3
East Sea	102	05	2024-03-04 09:20	36.0767	129.6883	Chart	125	2.7	2	34.03	2		2	0						7	1,003	TAMGU 3
East Sea	102	05	2024-03-04 09:20	36.0767	129.6883	Chart	150	2.2	2	34.03	2		2	0						7	1,003	TAMGU 3
East Sea	102	05	2024-04-18 09:05	36.0767	129.6883	Chart	0	15.8	2	33.54	2		2	0						4	980	TAMGU 3
East Sea	102	05	2024-04-18 09:05	36.0767	129.6883	Chart	10	15.0	2	33.91	2		2	0						4	980	TAMGU 3
East Sea	102	05	2024-04-18 09:05	36.0767	129.6883	Chart	20	15.2	2	34.36	2		2	0						4	980	TAMGU 3
East Sea	102	05	2024-04-18 09:05	36.0767	129.6883	Chart	30	15.0	2	34.42	2		2	0						4	980	TAMGU 3
East Sea	102	05	2024-04-18 09:05	36.0767	129.6883	Chart	50	13.9	2	34.36	2		2	0						4	980	TAMGU 3
East Sea	102	05	2024-04-18 09:05	36.0767	129.6883	Chart	75	6.5	2	34.25	2		2	0						4	980	TAMGU 3
East Sea	102	05	2024-04-18 09:05	36.0767	129.6883	Chart	100	1.8	2	34.06	2		2	0						4	980	TAMGU 3
East Sea	102	05	2024-06-19 07:13	36.0767	129.6883	Chart	0	18.5	2	33.96	2		2	0						6	1,003	TAMGU 3
East Sea	102	05	2024-06-19 07:13	36.0767	129.6883	Chart	10	15.7	2	34.10	2		2	0						6	1,003	TAMGU 3
East Sea	102	05	2024-06-19 07:13	36.0767	129.6883	Chart	20	12.0	2	34.35	2		2	0						6	1,003	TAMGU 3
East Sea	102	05	2024-06-19 07:13	36.0767	129.6883	Chart	30	9.8	2	34.31	2		2	0						6	1,003	TAMGU 3
East Sea	102	05	2024-06-19 07:13	36.0767	129.6883	Chart	50	4.1	2	34.12	2		2	0						6	1,003	TAMGU 3
East Sea	102	05	2024-06-19 07:13	36.0767	129.6883	Chart	75	2.6	2	34.05	2		2	0						6	1,003	TAMGU 3
East Sea	102	05	2024-06-19 07:13	36.0767	129.6883	Chart	100	2.0	2	34.04	2		2	0						6	1,003	TAMGU 3
East Sea	102	05	2024-06-19 07:13	36.0767	129.6883	Chart	125	1.6	2	34.05	2		2	0						6	1,003	TAMGU 3
East Sea	102	05	2024-06-19 07:13	36.0767	129.6883	Chart	150	1.6	2	34.05	2		2	0						6	1,003	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	0	12.1	2	34.35	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	10	12.1	2	34.36	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	20	11.9	2	34.37	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	30	11.5	2	34.36	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	50	11.1	2	34.35	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	75	10.7	2	34.33	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	100	6.3	2	34.12	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	125	4.2	2	34.08	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	150	2.4	2	34.05	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	200	1.5	2	34.04	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	250	1.3	2	34.05	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	300	1.1	2	34.05	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	400	1.0	2	34.05	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-03-04 09:59	36.0767	129.7967	Chart	500	0.8	2	34.06	2		2	0						8.7	1,005	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	0	16.6	2	34.32	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	10	16.6	2	34.31	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	20	16.1	2	34.45	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	30	15.3	2	34.40	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	50	15.1	2	34.40	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	75	13.8	2	34.36	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	100	11.5	2	34.39	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	125	2.9	2	34.13	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	150	1.8	2	34.06	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	200	1.2	2	34.05	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	250	1.0	2	34.05	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	300	0.9	2	34.06	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	400	0.8	2	34.06	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-04-18 08:03	36.0767	129.7967	Chart	500	0.6	2	34.06	2		2	0						11	979	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	0	19.1	2	33.92	2		2	0						6	1,002	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	10	15.7	2	34.11	2		2	0						6	1,002	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	20	12.0	2	34.26	2		2	0						6	1,002	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	30	10.3	2	34.27	2		2	0						6	1,002	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	50	6.0	2	34.18	2		2	0						6	1,002	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	75	2.9	2	34.08	2		2	0						6	1,002	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	100	2.1	2	34.05	2		2	0						6	1,002	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	125	1.7	2	34.04	2		2	0						6	1,002	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	150	1.4	2	34.05	2		2	0						6	1,002	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	200	1.1	2	34.05	2		2	0						6	1,002	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	250	1.0	2	34.05	2		2	0						6	1,002	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	300	0.9	2	34.06	2		2	0						6	1,002	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	400	0.7	2	34.06	2		2	0						6	1,002	TAMGU 3
East Sea	102	06	2024-06-19 06:18	36.0767	129.7967	Chart	500	0.6	2	34.06	2		2	0						6	1,002	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	0	11.8	2	34.33	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	10	11.7	2	34.35	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	20	11.6	2	34.35	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	30	11.4	2	34.33	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	50	11.2	2	34.35	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	75	9.4	2	34.16	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	100	5.3	2	34.11	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	125	3.1	2	34.05	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	150	2.2	2	34.05	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	200	1.5	2	34.04	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	250	1.2	2	34.05	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	300	1.0	2	34.05	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	400	0.8	2	34.05	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-03-04 11:11	36.0767	130	Chart	500	0.7	2	34.06	2		2	0						7.1	1,008	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	0	16.4	2	34.53	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	10	16.2	2	34.52	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	20	15.7	2	34.52	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	30	15.1	2	34.52	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	50	14.6	2	34.52	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	75	14.1	2	34.52	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	100	13.7	2	34.51	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	125	12.1	2	34.42	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	150	8.1	2	34.23	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	200	2.1	2	34.04	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	250	1.5	2	34.05	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	300	1.2	2	34.05	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	400	0.9	2	34.06	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-04-18 06:44	36.0767	130	Chart	500	0.7	2	34.06	2		2	0						9	980	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	0	21.7	2	33.33	2		2	0							1,000	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	10	21.3	2	33.59	2		2	0							1,000	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	20	19.9	2	34.12	2		2	0							1,000	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	30	17.8	2	34.10	2		2	0							1,000	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	50	16.8	2	34.34	2		2	0							1,000	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	75	15.7	2	34.35	2		2	0							1,000	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	100	11.1	2	34.35	2		2	0							1,000	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	125	3.0	2	34.09	2		2	0							1,000	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	150	2.5	2	34.05	2		2	0							1,000	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	200	1.5	2	34.05	2		2	0							1,000	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	250	1.2	2	34.05	2		2	0							1,000	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	300	0.9	2	34.05	2		2	0							1,000	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	400	0.7	2	34.06	2		2	0							1,000	TAMGU 3
East Sea	102	07	2024-06-19 04:51	36.0767	130	Chart	500	0.6	2	34.06	2		2	0							1,000	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	0	14.3	2	34.54	2		2	0							999	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	10	14.4	2	34.52	2		2	0							999	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	20	14.4	2	34.51	2		2	0							999	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	30	14.4	2	34.51	2		2	0							999	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	50	13.8	2	34.42	2		2	0							999	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	75	12.8	2	34.34	2		2	0							999	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	100	10.4	2	34.22	2		2	0							999	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	125	5.6	2	34.10	2		2	0							999	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	150	3.1	2	34.03	2		2	0							999	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	200	1.7	2	34.04	2		2	0							999	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	250	1.2	2	34.05	2		2	0							999	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	300	1.0	2	34.05	2		2	0							999	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	400	0.8	2	34.06	2		2	0							999	TAMGU 3
East Sea	102	08	2024-03-01 02:18	36.0767	130.3067	Chart	500	0.7	2	34.06	2		2	0							999	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	0	16.8	2	34.53	2		2	0							974	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	10	16.8	2	34.53	2		2	0							974	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	20	16.8	2	34.53	2		2	0							974	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	30	16.1	2	34.53	2		2	0							974	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	50	15.6	2	34.50	2		2	0							974	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	75	15.1	2	34.50	2		2	0							974	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	100	14.9	2	34.53	2		2	0							974	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	125	13.5	2	34.43	2		2	0							974	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	150	9.8	2	34.33	2		2	0							974	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	200	2.5	2	34.05	2		2	0							974	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	250	1.6	2	34.04	2		2	0							974	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	300	1.2	2	34.05	2		2	0							974	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	400	0.9	2	34.06	2		2	0							974	TAMGU 3
East Sea	102	08	2024-04-18 05:11	36.0767	130.3067	Chart	500	0.8	2	34.06	2		2	0							974	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	0	22.1	2	33.15	2		2	0							999	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	10	22.2	2	33.22	2		2	0							999	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	20	20.1	2	34.30	2		2	0							999	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	30	18.2	2	34.24	2		2	0							999	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	50	16.4	2	34.30	2		2	0							999	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	75	15.7	2	34.43	2		2	0							999	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	100	14.1	2	34.41	2		2	0							999	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	125	10.8	2	34.27	2		2	0							999	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	150	9.6	2	34.19	2		2	0							999	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	200	5.3	2	34.09	2		2	0							999	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	250	2.2	2	34.05	2		2	0							999	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	300	1.5	2	34.05	2		2	0							999	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	400	0.9	2	34.05	2		2	0							999	TAMGU 3
East Sea	102	08	2024-06-19 03:06	36.0767	130.3067	Chart	500	0.8	2	34.06	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	0	13.2	2	34.43	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	10	13.2	2	34.43	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	20	12.9	2	34.42	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	30	12.2	2	34.38	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	50	11.2	2	34.32	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	75	11.0	2	34.30	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	100	10.9	2	34.30	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	125	10.0	2	34.22	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	150	4.5	2	34.10	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	200	1.7	2	34.04	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	250	1.2	2	34.05	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	300	1.0	2	34.05	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	400	0.9	2	34.06	2		2	0							999	TAMGU 3
East Sea	102	09	2024-03-01 00:28	36.0767	130.615	Chart	500	0.7	2	34.06	2		2	0							999	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	0	16.7	2	34.45	2		2	0							966	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	10	16.4	2	34.47	2		2	0							966	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	20	16.2	2	34.48	2		2	0							966	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	30	15.8	2	34.51	2		2	0							966	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	50	14.7	2	34.52	2		2	0							966	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	75	13.9	2	34.52	2		2	0							966	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	100	12.6	2	34.44	2		2	0							966	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	125	11.5	2	34.39	2		2	0							966	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	150	5.1	2	34.12	2		2	0							966	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	200	2.2	2	34.03	2		2	0							966	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	250	1.8	2	34.04	2		2	0							966	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	300	1.5	2	34.05	2		2	0							966	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	400	1.0	2	34.05	2		2	0							966	TAMGU 3
East Sea	102	09	2024-04-18 03:33	36.0767	130.615	Chart	500	0.8	2	34.06	2		2	0							966	TAMGU 3
East Sea	102	09	2024-06-19 01:22	36.0767	130.615	Chart	0	22.2	2	33.72	2		2	0							999	TAMGU 3
East Sea	102	09	2024-06-19 01:22	36.0767	130.615	Chart	10	21.7	2	33.80	2		2	0							999	TAMGU 3
East Sea	102	09	2024-06-19 01:22	36.0767	130.615	Chart	20	18.8	2	34.19	2		2	0							999	TAMGU 3
East Sea	102	09	2024-06-19 01:22	36.0767	130.615	Chart	30	17.8	2	34.44	2		2	0							999	TAMGU 3
